STID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
101010101,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010102,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010201,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010202,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010301,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010302,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010303,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010401,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010402,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
101010501,0.002427459,0.002211332,0.004020691,0.006602049,0.006575823,0.00553894,0,0.002741814,0.000764608,0.000311852,0,0.007196665,0.010873795,0.010151386,0.013383985,11089.05273,7796.841309,10646.39648,-5.385165215,-0.088290215,3048.364746,12.48202229,238.4742126,238.4742126,0.737767994,-0.002352715,0.89022541,-0.002352715,-0.001376152,-0.002352715
