FID,NAME,LONGDD,LATDD
0,ABABULE,39.780000000000001,0.950000000000000
1,ABACHULA,39.530000000000001,-0.600000000000000
2,ABADARANT,40.530000000000001,1.530000000000000
3,ABAGERANSO,40.320000000000000,1.750000000000000
4,ABAHAMA,39.869999999999997,-0.820000000000000
5,ABACHULA,39.049999999999997,-0.530000000000000
6,ABACHULA,39.049999999999997,-0.530000000000000
7,ABAKDER,40.270000000000003,1.030000000000000
8,ABAKDERA,39.850000000000001,-0.520000000000000
9,ABAKFIN,40.649999999999999,1.730000000000000
10,ABAKUNO,39.450000000000003,-1.870000000000000
11,ABALO,38.880000000000003,3.120000000000000
12,ABAMAGADO,38.020000000000003,1.520000000000000
13,ABAMAGADO,38.020000000000003,1.520000000000000
14,ABAROT,39.750000000000000,-0.580000000000000
15,ABAROT,39.750000000000000,-0.580000000000000
16,ABARAT,39.719999999999999,-0.570000000000000
17,ABARAT,39.719999999999999,-0.570000000000000
18,ABDURRAHMAN EL,40.049999999999997,2.880000000000000
19,ABDURRAHMAN EL,40.049999999999997,2.880000000000000
20,ABDURRAHMAN EL,40.049999999999997,2.880000000000000
21,ABERDAREFOREST,36.070000000000000,-0.050000000000000
22,ABERDAREFOREST,36.070000000000000,-0.050000000000000
23,ABERDAREFOREST,36.070000000000000,-0.050000000000000
24,ABERDARENATIONALPARK,36.070000000000000,-0.420000000000000
25,ABERDARENATIONALPARK,36.070000000000000,-0.420000000000000
26,ABERDARENATIONALPARK,36.070000000000000,-0.420000000000000
27,ABIERO,34.250000000000000,-0.180000000000000
28,ABIERO,34.250000000000000,-0.180000000000000
29,ABILIAGITUK,36.600000000000001,2.420000000000000
30,ABLA,40.450000000000003,4.100000000000000
31,ABOBOKA,38.979999999999997,-2.070000000000000
32,ABOM,34.350000000000001,-0.030000000000000
33,ABOMSUBLOCATION,34.030000000000001,-0.070000000000000
34,ABORE,39.079999999999998,0.530000000000000
35,ABOS,35.079999999999998,-0.900000000000000
36,ABOS,35.079999999999998,-0.900000000000000
37,ABOS,35.079999999999998,-0.900000000000000
38,ABOSI,35.070000000000000,-0.900000000000000
39,ABSEGE,35.719999999999999,-0.550000000000000
40,ABULO,40.600000000000001,3.080000000000000
41,ABUNDU,34.049999999999997,-0.370000000000000
42,ABURADAM,34.299999999999997,0.080000000000000
43,ABURRYO,35.680000000000000,0.680000000000000
44,ABURUTIN,36.200000000000003,0.850000000000000
45,ABWAW,34.369999999999997,-1.030000000000000
46,ACHAR,34.030000000000001,-0.250000000000000
47,ACHEGO,34.579999999999998,-0.520000000000000
48,ACHIERO,34.049999999999997,-0.600000000000000
49,ACHOL,34.350000000000001,-0.530000000000000
50,ACHUME,34.579999999999998,-0.520000000000000
51,ACHUTH,34.530000000000001,-1.030000000000000
52,ACTONROAD,34.719999999999999,-0.050000000000000
53,ADABLI,40.430000000000000,0.820000000000000
54,ADABOTA,39.530000000000001,-0.420000000000000
55,ADADA,38.899999999999999,3.050000000000000
56,ADADI,38.770000000000003,3.400000000000000
57,ADE,39.119999999999997,2.600000000000000
58,ADE WEL,40.969999999999999,1.650000000000000
59,ADEDERTU,39.780000000000001,-0.350000000000000
60,ADEDER,40.680000000000000,0.300000000000000
61,ADEDER,40.680000000000000,0.300000000000000
62,ADEDER,40.430000000000000,0.780000000000000
63,ADEDER,40.430000000000000,0.780000000000000
64,ADENAWALE,39.270000000000003,2.130000000000000
65,ADENKAALIGOLIO,40.100000000000001,2.630000000000000
66,ADENKAALIGOLIO,40.100000000000001,2.630000000000000
67,ADHIRO,34.530000000000001,-0.380000000000000
68,ADDI,39.299999999999997,-1.850000000000000
69,ADDI,39.299999999999997,-1.850000000000000
70,ADI EL,37.549999999999997,3.820000000000000
71,ADI KUBI,38.030000000000001,2.320000000000000
72,ADIEDO,34.600000000000001,-0.430000000000000
73,ADILE,39.700000000000003,3.030000000000000
74,ADIMASAWMILL,35.969999999999999,-0.570000000000000
75,ADINGO,34.930000000000000,-0.350000000000000
76,ADINGOOPANGA,34.850000000000001,-0.370000000000000
77,ADOMEYAN,36.119999999999997,0.850000000000000
78,AFALO,40.219999999999999,3.520000000000000
79,AFAMBUK,39.020000000000003,-0.020000000000000
80,AFAR,39.250000000000000,3.030000000000000
81,AFATU,40.280000000000001,2.370000000000000
82,AFATU,40.280000000000001,2.370000000000000
83,AFGAB,37.530000000000001,3.180000000000000
84,AFGUDUD LAGA,38.780000000000001,2.870000000000000
85,AFIEJI LAGA,39.750000000000000,-2.130000000000000
86,AFTUTI,39.320000000000000,-2.470000000000000
87,AFUR,37.119999999999997,4.320000000000000
88,AFUR,37.119999999999997,4.320000000000000
89,AFUR,37.119999999999997,4.320000000000000
90,AFUR,37.119999999999997,4.320000000000000
91,AFWEIN,39.420000000000002,0.430000000000000
92,AFWEIN LAK,39.649999999999999,0.480000000000000
93,AFYUR,40.079999999999998,1.650000000000000
94,AGA,39.579999999999998,-0.600000000000000
95,AGA,39.570000000000000,-0.600000000000000
96,AGAI,35.570000000000000,-0.400000000000000
97,AGENGA,34.250000000000000,-0.930000000000000
98,AGENGA,34.649999999999999,-0.050000000000000
99,AGOLOMUOK,34.119999999999997,-0.780000000000000
100,AGONDA,34.030000000000001,-0.020000000000000
101,AGORO,34.950000000000003,-0.250000000000000
102,AGORO,34.799999999999997,-0.050000000000000
103,AGOROSARE,34.729999999999997,-0.050000000000000
104,AGOROSUBLOCATION,34.030000000000001,0.070000000000000
105,AGOROSUBLOCATION,34.979999999999997,-0.270000000000000
106,AGULO,34.520000000000003,-0.580000000000000
