NAME,LONGDD,LATDD
ANGURIASUBLOCATION,34.32,0.7
ANIKIA,39.3,-2.87
ANISA,40.02,1.65
ANJEGO,34.32,-0.97
ANO GOF,38.02,2.45
ANOTINGO,34.52,-0.35
ANYIEKA,34.27,0.23
ANYIKA,34.25,0.22
ANYIKO,34.53,0.12
ANYIKOSUBLOCATION,34.52,0.12
ANYIKOSUBLOCATION,34.25,0.22
ANYUONGI,34.28,-0.18
AOCHDOK,34.38,-0.57
AOCHMUGA,34.58,-0.63
AORACHAK,34.63,-0.05
AORACHUODHO,34.23,-0.78
AORAMODHO,34.48,-0.05
AORANAM,34.6,-0.7
APAMA,34.15,0.57
APATIT,34.23,0.58
APEGEI,34.2,0.55
APEGEI,34.18,0.53
APOKOR,34.27,0.53
APOKORSUBLOCATION,34.23,0.52
APONDOKOJWACH,34.8,-0.52
APUKU,34.8,-0.37
ARABTIRS,36.87,4.27
ARABUKO,39.97,-3.25
ARADI,40.57,2.92
ARAGE,37.02,2.1
ARAM,34.03,-0.22
ARAMBE,34.57,-1.03
ARAMBE,34.57,-0.93
ARANO,37.77,3.02
ARBAJAHAN,38.95,2.1
ARBASOKA KUBI,39.02,3.47
ARBO,40.03,1.63
ARBODI,40.27,1.12
ARBORETUM,36.8,-1.27
ARBOTEI,39.25,3.18
ARDAHALO,40.18,3.9
ADI WAR,40.47,1.72
ARGANI,40.37,1.07
ARGE,36.98,2.15
ARIA LAGA,38.77,3.45
ARITI,40.3,-2.52
ARIYA,38.73,3.52
ARIYO GOD,34.03,-0.52
ARIYO GODE,34.35,-0.52
ARLILO LAGA,38.25,2.58
AROR,35.63,0.95
ARSAABULA,39.07,3.28
ARUSI,37.35,3.87
ASA,40.07,-2.25
ASA,39.43,-2.08
ASANGOSUBLOCATION,34.03,0.23
ASAWO,34.93,-0.3
ASAYISUBLOCATION,34.38,0.1
ASEGO,34.47,-0.53
ASEMBO,34.38,-0.18
ASEMBOBAY,34.37,-0.22
ASEMBOLOCATION,34.37,-0.13
ASHARBIT,40.87,3.53
ASIE,37.1,2.97
ASILLE,36.53,4.3
ASINA,34.32,-0.52
ASINGE,34.17,0.55
ASINGE,34.18,0.57
ASUMBI,34.62,-0.62
ATARA,34.28,-0.38
ATEBWOSUBLOCATION,35.47,-0.85
ATELAITI,34.22,0.53
ATELAITI,34.2,0.53
ATHIBASIN,36.9,-1.4
ATHINAI,35.98,-0.07
ATHINAIESTATE,35.98,-0.05
ATHINAISISALFACTORY,35.97,-0.03
AUGICHA,37.8,2.58
AUGO,34.38,-0.08
AUSMADULI,40.53,2.27
AWACH,34.95,-0.23
AWACHTENDE,34.62,-0.48
AWALABDULLA,41.35,3.93
AWARAPLAIN,41.12,3.75
AWARO LAGH,40.08,1.1
AWENDO,34.53,-0.9
AWENDO,34.4,-0.05
AWEYON,41.63,3.73
AWINO,34.43,-0.55
AWOCHO,38.25,2.02
AWUNDOSVILLAGE,34.58,-0.63
AYANADE,39.07,3.1
AYORA,34.73,-0.52
AYUGIS,34.58,-0.73
AYWAYA GOT,34.52,-0.38
AYWEYO,34.95,-0.2
BABOONESCARPMENT,36.88,-1.4
BABOSOBLE,40.3,4.05
BADAN LAGA,39.27,3.32
BADANDA,38.95,3.05
BADANDER,38.93,3.05
BADARERO,38.92,2.73
BADASA,38.92,2.27
BADGEWORTHESTATE,36.72,-1.12
BADODA LAGA,39.45,3.08
BADONGOSUBLOCATION,34.03,0.25
BADUSA,38.77,3.13
BAFUF,39.97,2.05
AROGBOKITCH,40.88,-0.8
BAGAGA,37.87,3.55
BAGAGE,40.2,3.38
BAHATI,36.1,-0.15
BAHATI,36.85,-1.28
BAHATIESCARPMENT,36.18,-0.02
BAHATIFORESTRESERVE,36.2,-0.12
BAHATISETTLEMENT,36.12,-0.15
BAHURI,39.82,0.13
BAIO,37.55,1.77
BAIXIA,36.03,-0.68
BAKAJAOBE,40.97,-0.58
BAKAL,39.97,2.65
BAKTELE,39.97,-0.4
BALA,34.82,-0.03
BALA,34.38,-0.72
BALA,34.27,-0.9
BALACHUROCKS,39.23,-3.03
BALAL LAGA,37.25,3.42
BALBALA,40.73,1.85
BALBALOLERA,36.6,-1.3
BALEK,35.2,-0.07
BALELEGA,38.93,-0.73
BALESA,37.03,3.03
BALESA,37.37,3.6
BALESA,37.93,2.23
BALGUDA,39.85,-1.47
BALGUDA,39.08,-1.47
BALLO,36.62,2.9
BALOBLE,40.07,3.27
BALOBLE,40.02,3.25
BAMBA,39.4,-0.23
BAMBA,39.47,-3.52
BAMBA,39.52,-3.53
BAMBAGURARI,39.55,3.3
BABOHILLS,41.07,3.05
BAMBAHOLA,40.9,2.95
BAMBASUBLOCATION,39.43,-3.52
BAMUBAKARI ZIWALA,40.08,-2.18
BAN GOD,34.52,-0.52
BANAL,38.37,3.52
BANDARI,39.53,-3.47
BANDARASALAMA,39.7,-3.78
BANDARO,38.8,2.93
BANDE,34.18,-1.03
BANDESTATE,36.75,-1.12
BANGAL,40.03,1.75
BANI,36.23,4.38
BANISA,40.35,3.95
BANITASISALESTATE,36.08,-0.07
BANJA,34.08,0.03
BANO,36.75,-1.12
BANYA,36.25,4.45
BANIA,39.63,-3.92
BANYALI,41.8,3.88
BAOFUSUBLOCATION,34.03,0.03
BAOMO,40.13,-1.92
BAR,34.68,-0.03
BAR EL,39.45,3.2
BARACHUMA,37.98,2.53
BARACHUMA GOF,37.98,2.05
BARAFIN,39.45,0.63
BARAGET,35.73,-0.42
BARAGULU,34.3,0.02
BARAHOYO,39.77,-3.92
BARAHOYO,39.77,-3.93
BARAKA,35.03,-0.2
BARALE,39.97,-0.08
BARBARISA,39.23,2.82
BARCHOBARCHO,37.07,2.85
BARCHUMABODICH,38.08,1.45
