NAME,LONGDD,LATDD
CHIAMETHUTI,36.75,-1.03
CHIANANDA,37.63,-0.42
CHIANDA,34.03,-0.25
CHIBA,37.03,-0.68
CHIBIT,36.28,0.68
CHIDALUNI,39.65,-3.95
CHIEKO,36.63,-1.15
CHIFFIRI,39.7,-1.3
CHIGA,34.85,-0.1
CHIGANGUNI,39.07,-2.87
CHIGASUBLOCATION,34.92,-0.08
CHIKUU,37.7,-0.32
CHILKARAROTU,39.2,2.77
CHILULUSUBLOCATION,39.65,-3.8
CHINGAFORESTGUARDPOST,36.08,-0.57
CHINGEROTI,36.8,-1.12
CHIOKARIGE,37.93,-0.27
CHIPDER,39.2,2.72
CHIPKIRIMA,34.08,0.08
CHIROMO,36.8,-1.27
CHIRTEHIYESA,39.07,-2.07
CHIRTEHIYASA,39.65,-2.12
CHISAWARSESA,37.92,3.73
CHOBA,38.05,2.43
CHOBA GOT,38.05,2.42
CHOBO EL,39.78,3.07
CHOCHE BUR,40.58,2.08
CHOGORIA,37.62,-0.23
CHOGORIASUBLOCATION,37.63,-0.23
CHOICHUF LAGA,38.88,2.53
CHONYE,39.68,-3.78
CHONYESUBLOCATION,39.58,-3.9
CHONYILOCATION,39.7,-3.75
CHOPPLAIN,38.73,3.42
CHRISTMASFALLS,35.4,-0.45
CHUFA,39.43,3.3
CHUI,36.27,0.12
CHUKALESID,40.6,2.75
CHULA,34.02,-0.43
CHULAIMBO,34.63,-0.03
CHUMBIRI,37.3,-0.73
CHUNGE,34.42,-0.87
CHUNONISECTION,40.02,-2.22
CHURA,36.7,-1.22
CHURKURO,38.73,2.97
CHURO,36.42,0.77
CHURO,36.4,0.77
CIANDAESTATE,36.77,-1.13
CIMBRIAFARM,35.9,-0.18
CITYESTATE,36.77,-1.28
CLOSEBURNESTATE,36.78,-1.2
COASTLANDUNIT,39.42,-3.75
COKERERIA,36.35,-0.43
CORYNDONFALLS,35.37,-0.48
CORYNDONFARM,36.7,-1.23
CRATERLAKE,36.27,-0.78
CRESCENTHILL,36.08,-0.3
CRESCENTISLAND,36.4,-0.77
DABA,39.45,-1.57
DABACHA,37.43,4.08
DABADER,40.1,1.37
DABADER,40.9,0.47
DABADER,40.68,0.4
DABAHUKA,39.53,2.72
DABANDABLI,37.08,3.37
DABAR,40.23,1.73
DABARE,40.58,3.32
DABASITI,40.88,2.62
DABEIT,41.57,3.93
DABIRA,40.07,1.48
DACHISA,39.07,3.52
DADAAB,40.32,0.07
DADABAS,39.93,-0.75
DADACHAAWALEDA,40.53,4.02
DADACHAEGDOGALGALO,40.23,4.02
DADACHAKORMAADI,40.77,3.9
DADACHAMOSA,38.92,2.52
DADACHAOBO,38.78,3.53
DADDOGH,40.78,0.77
DADECHGAGES,39.55,-2.05
DADECHJERE,39.05,-1.93
DADECHONAJOO,40.92,2.18
DADILASH,39.57,0.43
DADOL,40.97,1.9
DADOLE,39.07,-1.97
DADUSALAOKAUTI,39.63,-0.7
DAFAM,40.25,-1.7
DAFAT LAGA,38.87,2.82
DAGALAB,40.62,1.82
DAGHANI,37.57,3.43
DAGORETTI,36.68,-1.28
DAGORETTI,36.77,-1.3
DAGORE,36.7,-1.28
DAGORETTI,36.68,-1.27
DAGORETTILOCATION,36.72,-1.28
DAGOSUBLOCATION,34.75,-0.05
DAKAAJOF,38.78,3.02
DAKABARU,40.9,3.18
DAKABUKO,39.07,-2.92
DAKACHOM,38.57,3.53
DAKADAKOTHA,39.4,-2.38
DAKABIMAHILLS,39.4,-2.42
DAKADIEMAHILL,39.38,-2.45
DAKADIMA,40.7,2.75
DAKADIMA,38.85,3.1
DAKADIMA,39.05,3.3
DAKAHORR,39.9,2.08
DAKAJI LAGA,40.9,-1.37
DAKAKAT,38.07,3.53
DAKALAFTU,40.95,2.47
DAKALAWA,39.68,2.87
DAKARA,37.9,2.03
DAKARA,37.68,3.28
DAKARA GOF,37.9,2.03
DAKARA GOF,38.08,2.45
DAKARA GOF,37.95,2.63
DAKAWACHU,39.62,-2.07
DAKAYE,39.53,2.7
DAKKAJARTI,38.73,3.1
DAKU,38.95,3.05
DALADOJIRA,39.28,-3.45
DALATA HARARR,40.07,0.53
DAMASA,38.95,-0.62
DAMBALAFULCHANA,38.75,3.05
DAMBALAKOKOB,39.02,2.55
DABASSA,40.03,2.37
DAMBITO LAGA,37.63,2.92
DAMFA,39.57,-0.07
DANABALE LAGA,39.08,-1.05
DANDORA,37.08,-1.27
DANDORA,36.9,-1.25
DANDORA,36.75,-1.05
DANDORAESTATE,36.98,-1.27
DANDORASISALESTATES,37.02,-1.27
DANDU,39.87,3.45
DANICH,39.75,-1.3
DANICHA,39.95,3.05
DANICHA KUBI,39.27,3.4
DANISAHILLS,40.98,3.28
DANTAFOF,40.82,0.48
DANYEFUL,39.07,2.55
DARABARUSO,37.43,2.95
DARAJAFARM,35.95,-0.05
DARAJAMBILI,34.65,-0.05
DALAJANI,39.65,-3.8
DARAKAT,36.92,2.25
DARALE,39.53,3.27
DARANDIRI,39.05,3.13
DARASHAYAMAWE,35.68,-0.43
DARIMI,39.58,-0.77
DARIORO,38.28,1.88
DARKEGA,40.43,-1.08
DARKENFAIYU,40.9,3.98
DARKENFULO,40.9,2.22
DARMA,40.02,-1.03
DATKAERIBKA,40.92,0.42
DAUDIOJUOK,34.53,-0.77
DAUFATAPLAIN,38.92,3.18
DAWA,39.65,-3.73
DAWSONVILLE,36.05,-0.28
DEBANI,34.05,0.1
DATACHAMUDI,39.9,2.75
DEDACHBRESA,38.78,2.95
DEDACHCHEBRA,38.98,2.87
DEDACHELELE,38.53,3.52
DEDACHLOKHOLE,39.07,2.87
DEDACHLOKHOLE,39.15,2.52
DEDACHMILSADETU,39.08,2.9
DEDACHMURTI,40.88,2.23
DEDE,34.53,-0.82
DEDE,34.52,-0.82
DEGEGA,40.3,-1.05
DELA,39.9,-0.43
DELA,39.7,2.3
DELBEK MADO,38.03,1.57
DELHERI,39.05,0.45
DEMODERA,38.63,2.78
DEMODIKA,38.07,2.78
DEMOOBRISA,38.65,2.75
DEMORUBICH,38.62,2.73
DENISARESTATES,35.72,-0.23
DERABOMBI,39.9,0.82
DERATI,36.53,3.87
DERDETU MADO,38.38,1.77
DERERAGOF,39.2,1.92
DERERISA,39.08,-2.97
DERIBGUNDI,40.08,3.25
DERKALI,40.27,3.87
DESHEKFINNO,41.47,3.37
DET,34.28,-0.75
DETU,40.07,-1.15
DHALADO,39.28,-3.53
DHARAKA,38.07,-0.07
DHENE,34.47,0.02
DHIARA,37.37,-0.42
DHUHUMU,39.68,3.02
DIAMONO,38.03,-0.08
DIANGA,34.53,-0.93
DABASO GEBEL,37.42,4.12
DIBAYU,40.77,4.23
DIBE,40.18,-2.38
DIBE,39.9,3.07
DIBEARBO,39.63,-2.08
DIBEJARSA,39.22,-1.07
DIBUORO,34.1,0.1
DIDA,39.8,-3.43
DIDACHAMU,39.43,2.62
DIDA,37.62,3.87
DIDA,38.18,2.95
DIDA,39.2,2.63
DIDAGOLA,37.37,3.82
DIDAGOOCHIPLAIN,40.08,2.23
DIDAMAHMUD,39.47,2.55
DIDASUBLOCATION,39.8,-3.42
DIDAWAREDI,40.4,-2.42
DIDENTU,40.05,3.42
DIDIMABULE,39.6,-2.38
DIDDIMTUIDDA GEBEL,37.35,3.97
DIDIMTU,40.2,2.93
DIDO,40.13,-1.03
DIDOYA,38.88,2.75
DIDSARBASAARBEJ,37.13,4.23
DIEMO,34.52,-0.1
DIENYA,34.42,0.02
DIENYASUBLOCATION,34.4,0.02
DIF,40.95,0.98
DIFATHA,37.4,-0.55
DIFKORMA,40.93,1.02
DIGDIGA,40.02,2.88
DIGIRA,40.85,-1.1
DIGOMA,34.63,-0.68
DIGRI,39.6,3.37
DILGUB,39.68,0.68
DILMALYALI,39.57,0.88
DIMA LAK,40.38,0.6
DIMO,40.82,2.57
DIMTU TULU,37.58,3.02
DINAS,39.22,0.38
DINDIRI,39.77,-3.43
DINDIRI,39.78,-3.73
DINDIRI,39.8,-3.73
DIRIBMADERA,40.92,2.92
DIRIBSOI,38.9,2.78
DIRIBSOI LAGA,38.9,2.78
DIRIKOBA,39.07,3.27
DIRONA,38.68,3.02
DIRONA,39.68,3.47
DIRONAHILLS,39.88,3.22
DIRONA,38.53,3.53
DIRONAYOGOR,38.57,3.53
DIRRIBERE,38.75,2.85
DIRSAME WAR,40.92,0.77
DIRSOTAWA,39.03,3.28
DIRUBI,34.98,-0.4
DISHEGU,39.98,0.57
DISI,34.55,-0.07
DOBEL,39.28,3.12
DOBEL,39.27,3.1
DODO,34.43,-0.88
DOFANO,40.3,2.58
DOFANO,39.02,3.38
DOFE,38.73,3.03
DOHOKARACHWONYO,34.68,-0.43
DOHOSUBLOCATION,34.05,0.02
DOHOSUBLOCATION,34.18,0.2
DOI,40.73,-1.3
DOI,40.75,-1.28
DOI LAGA,40.98,-1.05
DAKHSA,40.2,1.85
DOLKODERA,34.68,-0.57
DOLOLO,39.53,-0.25
DOLOLO,38.9,2.57
DOLOLOBARSIRI LAGA,38.88,2.58
DELELEBURGOR,39.73,-0.28
DOLOLOCHAKE LAGA,38.95,3.27
DOLOLO,38.82,3.38
DOLOLOHANTUT LAGA,38.93,3.32
DOLOLOLOGE LAGA,38.95,3.2
DOLOLOMADEIR LAGA,38.95,3.22
DOLOLOMADERI,39.57,2.27
DOLOLONURRE LAGA,38.92,3.08
DONYAKABORT,39.25,-0.12
DOONDUESTATE,36.87,-1.12
DOONHOLM,36.87,-1.28
DOONHOLMESTATE,36.9,-1.3
DORFIARBA,37.08,2.23
DOSA,40.73,-1.27
DUBO LAGA,39.25,3.45
DUBYSU,38.75,3.3
DUDI,34.58,-0.8
DUDI,34.8,-0.05
DUDUP,40.8,0.93
DUEADERA,40.1,-1.12
BAYA,39.1,-0.58
DUFFERSPOOL,36.38,-0.45
DUGAHA,39.92,0.52
DUGDADERA,40.32,3.48
DUHARU,39.18,-3.48
DUHARU,39.18,-3.05
DUJUMU,39.35,-0.53
DUKANA,37.27,3.98
DUKANA GOF,37.38,3.98
DUKDADERA,40.3,3.05
DUKE,39.88,2.9
DUKEGALLA,38.97,2.57
DUKEOFYORK,36.73,-1.3
DUKO LAGH,40.1,3.75
DULA KUBI,39.82,2.63
DULEI,39.07,3.08
DULUKIZA,39.63,-3.38
DULUKIZASUBLOCATION,39.63,-3.38
DUMBALAKURO,39.95,3.02
DUMI,40.13,-2.25
DONDORI,36.23,-0.25
DUNGAQUARRY,34.73,-0.13
DUNGICHA,39.62,-3.48
DUNNOTTARESTATE,36.85,-1.15
DRUDER,37.75,2.3
DURURUMU,36.85,-1.13
DURWAYA,40.2,2.42
DUSE,39.37,3.38
DUSE,40.73,2.48
DUUL,39.08,-1.97
DZIHANA,39.65,-3.82
EASTALEGOLOCATION,34.27,0.03
EASTERNMAU,35.97,-0.53
EASTERNMOLOBRANCHROAD,35.68,-0.38
EASTERNMOLOROAD,35.68,-0.37
EASTKADIANGASUBLOCATION,34.97,-0.4
EASTKANOLOCATION,34.93,-0.22
EASTKATWENGASUBLOCATION,34.35,-0.32
EASTKONYANGOLOCATION,34.47,-0.7
EASTLEIGH,36.85,-1.27
EBUBAYI,34.07,0.07
EBUREMIA,34.05,0.12
EBURRUSETTLEMENT,36.25,-0.62
EBUSILOLI,34.07,0.08
BUSONGA,34.1,0.1
BUSONGA,34.12,0.1
EBUTANYISUBLOCATION,34.53,0.02
EDAGIRI,40.27,3.58
EDELVALEHOME,36.9,-1.28
EDIAWA,34.53,0.08
EGE,40.65,-1.42
EGEDOLE,38.52,3.53
EGEI,40.32,0.02
EGERTONAGRICULTURALCOLLEGE,35.93,-0.37
EGGE,40.12,-2.25
EGGELALI,39.65,-2.07
EGU,39.03,3.45
EGU,40.42,2.92
EJESSA GAR,37.9,2.22
EKARU,36.7,-1.2
EKINYANG,36.58,2.7
EKISOKO,34.27,0.45
EKISOKOSUBLOCATION,34.27,0.45
EKO,34.38,-0.98
EKOLE,38.28,-0.03
AKURE,34.22,0.55
ELA,40.78,-1.02
ELAA,40.73,-1.02
ELANDSHOLLOWDAM,36.85,-1.35
ELBACH,36.12,0.48
ELBALEISAGARA,37.18,4.2
ELBEN,40.2,2.32
ELBI,40.05,-1.55
ELBOFA,40.27,3.37
ELBURGON,35.85,-0.32
ELBURGON,35.82,-0.3
ELBURGON,35.82,-0.22
ELBURGONFORESTSTATION,35.85,-0.32
ELDALAT,35.08,-0.05
ELDAS,39.55,2.53
ELDEBESUBLOCATION,36.03,0.48
ELDERE BALESA,37.32,3.03
ELEBOR,38.27,3.48
ELEFANTOGOJA,39.07,-0.82
ELAELANTOKOTOHA,39.05,-0.82
ELEMA,40.77,0.48
ELENITOK,39.25,0.78
ELEPHANTBONECORNER,39.05,-2.95
ELEPHANTPOOL,35.32,-0.6
ELGAL,39.85,1.28
ELGELETA,37.02,2.63
ELGESS,37.42,1.93
ELISHA,34.53,-0.92
ELJERA,39.6,-1.07
ELLESHOPE,35.65,-0.37
ELMENTEITA,36.15,-0.48
ELMENTEITA LAKE,36.25,-0.45
ELMOLOBAY,36.7,2.85
ELMOLOCAMP,36.7,2.82
ELNADEIN,37.98,2.27
ELNADENI,37.72,3.05
ELTULI,40.35,1.63
ELUHOBE,34.6,-0.02
ELUKHARISUBLOCATION,34.32,0.37
ELUKONGOSUBLOCATION,34.37,0.38
EILWAK,40.93,2.82
ELYIBO,37.25,4.15
EMAGADA,34.07,0.07
EMAGOGO,36.87,-1.4
EMARANGISHU,36.12,0.03
EMBAKASI,36.92,-1.3
EMBAKASI,36.9,-1.35
EMBOBIT,35.7,1.27
EMBOGEI,35.62,0.52
EMBOMOSS,35.3,-0.57
EMBU,37.45,-0.53
EMBUFORESTSTATION,37.48,-0.35
EMETIOT,35.37,-0.85
EMINWA,34.82,-0.08
EMKWENLOCATION,35.28,-0.7
EMPAKASI,36.88,-1.35
EMPAKASI,36.78,-1.38
EMPAKASI,36.92,-1.3
EMPAKASI,36.87,-1.38
EMPAKASIPLAIN,36.87,-1.35
EMPARA MARTI,37.57,1.47
EMUSYA,38.97,-2.72
ENA,37.55,-0.48
ENABILIBIL,35.9,-0.08
ENBENYE,35.78,0.58
ENCHORRO,36.1,-0.32
ENDARASHA,35.78,-0.28
ENDELASWAMP,39.42,0.78
ENDERIT,36.13,-0.42
ENDERIT,36.12,-0.43
ENDIMASAWMILLS,36.03,-0.65
ENGEJUONDARE,36.7,-1.07
ENGERIA LAG,39.82,0.92
EMGOSHURAFARM,36.15,-0.25
ENKIJIJIHILLS,36.38,-1.07
ENWOITIISLAND,36.62,2.63
ENZIU,38.23,-0.08
ERAP,40.4,1.58
ERESGALA GAR,37.88,2.23
ERESWACHILE,38.92,2.4
ERIP,40.02,1.15
ERIP,40.35,2.27
ERISBONA,38.08,1.57
ERON,35.65,0.48
ERRON,35.68,0.53
ERUSWI,34.08,0.1
ESCARPMENT,36.62,-1.02
ESHIANDUMBASUBLOCATION,34.53,0.02
ESHIKUMU,34.07,0.02
ESHISIRU,34.07,0.28
ESIKOMASUBLOCATION,34.27,0.35
ETAGO,34.07,-0.92
ETAGO,34.07,-0.9
ETHINYAI,36.55,-1.27
ETINGOLOSUBLOCATION,34.37,0.03
EWASOKEDONG,36.57,-1.15
EWASOKEDONG,36.47,-1.1
FAFABARE,39.53,-0.4
FAFI,40.22,-0.42
FAFI,40.25,-0.43
FAFSULA,40.02,-1.15
FAIRVIEWESTATE,36.85,-1.18
FANG THE,36.6,2.68
FANJUA,40.12,-1.07
FARDAHOMA,39.78,3.03
FARENA,40.18,-1.05
FARRANESTATE,36.85,-1.12
FINANGOS,37.08,3.75
FINO,41.45,3.37
FINNO,41.53,3.45
FERADZI,34.3,0.15
FITESA,40.37,-1.05
FOLAAD,39.95,-0.95
FORA,36.48,3.07
FORODHANISUBLOCATION,39.65,-3.9
FORTHALL,37.18,-0.72
FORTJESUS,39.68,-4.07
FOTOBIRO,34.82,-0.37
FRERETOWN,39.7,-4.02
FUDIWEIN,39.73,0.62
FUDUA,39.8,-2.12
FUGUGO,39.58,3.03
FULDIKO,39.05,2.68
FUNANBURARA,41.32,3.9
FUNANHALO,39.15,3.05
FUNANOSA,39.07,2.8
FUNANSORAWRO,39.23,3.45
FUNANTESOBORU,39.93,3.85
FUNANTUTI,39.08,3.47
FUNANYATA,39.07,3.03
FUNGATZOMBA,39.55,-3.7
FUNYULA,34.12,0.27
FURAFUL,36.77,3.1
FURAHA,40.2,-2.48
FURFUS,40.03,2.88
GACHARAGE,36.88,-0.75
GACHARAGE,36.77,-1.2
GACHARAGEINI,36.88,-0.63
GACHARAGEINISUBLOCATION,36.08,-0.62
GACHARAGESUBLOCATION,37.22,-0.7
GACHARAGESUBLOCATION,36.9,-0.78
GACARAIGU,37.02,-0.7
GACHARU,37.2,-0.62
GACHARU,37.22,-0.63
GACHARU,37.2,-0.63
GACHARUSUBLOCATION,37.22,-0.62
GACHIE,36.78,-1.22
GACHIGESUBLOCATION,37.3,-0.47
GACHIKA,36.77,-0.97
GACHIREGEBA,36.07,-0.47
GACHOBA,36.73,-1.05
GACHOCHO,36.98,-0.78
GACHOCHOSUBLOCATION,36.98,-0.78
GACHOIRI,36.73,-0.98
GACOGU,37.42,-0.72
GADAMOGI KUBI,38.03,2.28
GADAMSA,37.9,3.48
GADAMSA GAR,37.93,2.28
GADENI,40.02,-2.23
GADEIR,39.98,3.63
GADEIR,39.95,3.07
GAGABA,39.75,3.6
GAGABA,37.65,2.12
GAGABAKALO,39.72,3.58
GAGALBEID,40.08,1.85
GAITEGA,37.13,-0.73
GAITEGASUBLOCATION,37.13,-0.73
GAJAJA,40.32,1.98
GAKALET,34.3,0.68
GAKANGA,36.08,-0.43
GAKEO,37.6,-0.23
GAKIOGO,37.03,-0.65
GAKIRA,36.97,-0.68
GAKOE,36.82,-1.08
GAIKOIGO,37.12,-0.78
GAKOIGO,37.3,-0.52
GAIKOIGOSUBLOCATION,37.1,-0.78
GAKOE,37.08,-0.68
GAKOMBOKI,37.2,-0.47
GAKU,37.07,-0.65
GAKUO,37.35,-0.58
GAKURUE,37.02,-0.63
GAKURWE,37.35,-0.43
GAKURUE,37.02,-0.62
GAKUYU,37.05,-0.65
GAKUYU,36.88,-0.78
GAKUYUSUBLOCATION,37.07,-0.65
GAKWEGORE,37.58,-0.42
GALAMANI,40.03,-1.4
GALAN,36.98,2.73
GALANEMA,39.7,-3.72
GALAS,36.52,3.45
GALBAR,38.55,2.07
GALEBURKUKE,39.7,2.98
GALGACHA,40.03,1.72
GALGAL,40.37,-1.65
GALGALDIBID,40.72,1.05
GALGALOT,40.85,2.23
GALLA TULU,37.62,3.3
GALMAGALLA,40.78,-1.18
GALMAGALLA,40.78,-1.2
GALMATHI,39.87,-0.95
GAMADA,39.8,3.07
GAMBA,34.03,-0.58
GAMBA,34.78,-0.52
GAMBA,34.05,-0.85
GAMBELA LAGA,39.37,3.28
GAMBELOCATION,34.28,-0.48
GAMBOLA,39.8,3.03
GAMELI,37.43,2.57
GAMUN,40.78,3.27
GAMURA,37.57,2.92
GANDENI,39.65,-3.95
GANDINISUBLOCATION,39.53,-3.82
GANGARTA LAGA,37.87,2.35
GANGO,39.03,-2.08
GANGRI,34.8,-0.47
GANGUSUBLOCATION,34.18,0.08
GANU,34.05,-0.48
GANZE,39.68,-3.53
GANZELOCATION,39.63,-3.53
GANZONI,39.63,-3.92
GARADEHILLS,39.07,3.08
GARAGEILO,41.28,3.6
GARANYAL,37.47,2.53
GARAS,40.13,3.75
GARAS WEL,40.95,1.72
GARASGOT,40.13,-1.28
GARAPAADI,39.95,2.52
GARBAGOLE,41.75,3.9
GARBAHALATI LAGA,39.05,3.05
GARBAMAMO,41.2,3.53
GARBAMERILLE,36.65,4.37
BURCHAMBALI,39.95,3.87
GARBI KUBI,37.6,3.02
GARDAMA,37.9,2.2
GARDENESTATE,36.87,-1.23
GARDIDA BUR,40.95,2.03
GARDILE,38.72,3.57
GAREBEY LAGA,41.05,-1.25
GARI,40.97,3.43
GARI,40.9,3.38
GARI,34.88,-0.38
GARIBABOR,37.9,3.43
GARIBETE,39.27,-3.43
GARIHILLS,40.95,3.38
GARISDER,39.57,-0.28
GARISKA,40.4,0.6
GARISSA,39.63,-0.47
GARISSADISTRICT,40.25,-0.05
GARIYABA,37.92,2.02
GARKILO,39.6,3.15
GARSA,38.92,2.8
GARSE,40.68,2.08
ARACHI,39.12,3.48
GARSEBUNA,39.48,2.77
GARSEDIMTU,40.98,2.63
GARSEGALA,40.9,2.53
GARSEJIRMA,38.97,3.32
GARSEN,40.12,-2.27
GARSESALA,40.88,2.52
GARUS,38.68,2.95
GASERO,34.07,-0.7
GACORO,37.42,-0.62
GATAMAIY,36.73,-1.08
GATAMAIYU,36.73,-1.08
GATAMAIYULOCATION,36.73,-1.03
GATAMATHIINA,37.62,-0.25
GATANGARA,36.95,-0.72
GATARA,36.72,-1.25
GATARASUBLOCATION,36.88,-0.73
GATARE,36.77,-0.73
GATAREFORESTSTATION,36.77,-0.72
GATARWA,36.03,-0.32
GATEGI,37.42,-0.75
GATEGISUBLOCATION,37.05,-0.75
GATHAIRU,37.03,-0.77
GATHAITHI,37.2,-0.43
GATHAITHI,37.2,-0.52
GATHAITHI,36.92,-0.75
GATHAITHI,36.93,-0.75
GATHAITHI,36.77,-1.1
GATHAMBA,37.15,-0.75
GATHAMBARA,37.08,-0.72
GATHAMBI,37.2,-0.47
GATHANDA,36.8,-0.75
GATHANGA,36.8,-1.18
GATHANGARI,36.7,-1.07
GATHANGARISUBLOCATION,36.7,-1.07
GATHANJE,36.78,-1.08
GATHANJI,36.75,-1.1
GATHEGI,36.6,-1.3
GATHEGIA,36.8,-1.02
GATHERA,37.02,-0.78
GATHERA,37.03,-0.8
GATHERA,37.03,-0.78
GATHERASUBLOCATION,37.03,-0.78
GATHERI,36.73,-1.07
GATHERU,37.07,-0.73
GATHERUSUBLOCATION,37.05,-0.73
GATHIGA,36.75,-1.22
GATHIGIO,37.07,-0.8
GATHIGIRIRI,37.4,-0.68
GATHIMA,36.75,-1.03
GATHINJA,37.02,-0.72
GATHINJASUBLOCATION,37.02,-0.72
GATHIRIGA,36.73,-0.97
GATHIRUINI,36.82,-1.03
GATHITHINA,36.68,-1.22
GATHUGA,36.8,-1.05
GATHUGU,36.73,-0.97
GATHUGU,36.8,-1.02
GATHUGU,36.75,-0.98
GATHUKIINI,37.05,-0.63
GATHUKIINISUBLOCATION,37.03,-0.63
GATHUTHUMA,37.22,-0.43
GATIAINI,36.82,-0.78
GATIMU,36.65,-1.02
GATINA,36.7,-1.07
GATISSA,37.18,-0.58
GATITHI,37.2,-0.58
GATOORI,37.45,-0.48
GATUESUBLOCATION,38.12,-0.18
GATUGURA,37.32,-0.47
GATUMBI,37.35,-0.45
GATUMBI,36.97,-0.78
GATUNDU,37.05,-0.73
GATUNDUINI,37.07,-0.7
GATUNDORI,37.48,-0.48
GATUNGA,38.02,-0.1
GATUNGASUBLOCATION,38.05,-0.12
GATUNGURU,37.3,-0.48
GAITHURI,37.68,-0.38
GATHURI,37.1,-0.65
GATURISUBLOCATION,37.08,-0.77
GATUTO,37.3,-0.57
GATUYA,37.22,-0.53
GATUYA,36.97,-0.73
GATUYASUBLOCATION,36.97,-0.73
GATWAMBA,36.7,-1.02
GATWE,37.23,-0.43
GAULA,34.02,0.02
GAWAL,38.43,3.55
GEBABU,39.13,0.68
GEBEGEBE,39.13,0.37
GEBEL,36.93,4.38
GEDE,39.3,-3.47
GEDUD WAR,40.87,3.18
GEILO,41.28,3.55
GEITWA,37.08,-0.63
GEITWASUBLOCATION,37.07,-0.62
GEKANDO,37.08,-0.72
GEKANDU,37.1,-0.72
GEKANDUSUBLOCATION,37.1,-0.72
GEKUURI,37.55,-0.45
GEKUURISUBLOCATION,37.57,-0.43
GELAI,36.08,1.13
GELEGELE,35.03,-0.88
GELEGELESUBLOCATION,35.05,-0.88
GEM,34.95,-0.28
GEMBA,34.22,-0.05
GEMBIS,40.27,1.55
GEMBIS,39.97,1.18
GEMLOCATION,34.57,-0.63
GEMSUBLOCATION,34.93,-0.25
GENDIA,34.65,-0.37
GENDIA,34.07,-0.4
GENDO,34.22,-0.72
GENGRAISLAND,34.45,-0.35
GERSIAKI,39.43,2.88
GESA,38.08,1.9
GESARARA,34.8,-0.07
GESONSO,34.73,-0.07
GESUNSU,34.65,-0.08
GETARE,34.8,-0.07
GETATHURU,36.73,-1.23
GETHEBA,36.68,-1.3
GETUGO,38.08,-0.12
GHOBAHARA,39.77,-0.15
GHOTE,39.68,2.07
GHULULATE,40.98,-0.97
GHULULATE,40.92,-0.97
GIACHIARA,37.4,-0.57
GIACHUMI,36.78,-1.07
GIAGITHU,36.85,-1.1
GIATHIEKO,36.82,-1.08
GIATHIEKOSUBLOCATION,36.82,-1.08
GIBISA LAGA,37.07,4.1
GICHAGIINI,36.9,-0.8
GICHAGIINISUBLOCATION,36.9,-0.8
GICHANGAI,37.43,-0.48
GICHARANI,36.65,-1.27
GICHERA,37.6,-0.45
GICHERORI,37.43,-0.43
GICHERU,36.55,-1.2
GICHERU,36.57,-1.18
GICHERUDIATOMITEDIGGINGS,36.55,-1.18
GICHICHE,37.58,-0.43
GICHICHESUBLOCATION,37.58,-0.45
GICHIENGO,36.62,-0.95
GICHOCHO,36.82,-1.15
GICHONGO,36.68,-1.27
GICHOTO,36.65,-1.28
GICHUGU,37.1,-0.82
GICHUGUSETTLEMENT,37.42,-0.57
GIKAI,36.77,-0.6
GIKAMBURA,36.62,-1.23
GIKAMBURA,36.63,-1.28
GIKAMBURASUBLOCATION,36.63,-1.27
GIKARU,36.7,-1.2
GIKIGIE,36.87,-0.73
GIKINDU,37.25,-0.75
GAKOI,36.93,-0.63
GIKOE,36.9,-0.77
GIKARMORA,37.05,-0.8
GIKONDISUBLOCATION,37.1,-0.63
GIKUI,37.02,-0.68
GIKUNGURU,37.05,-0.78
GIKUNI,36.7,-1.2
GIKUU,37.25,-0.72
GILGIL,36.35,-0.72
GILIGURUMU,37.95,0.03
GINA,34.47,-0.08
GINGO,41.62,3.93
GIRAFFEPOOL,38.95,-0.57
GIRIAMA,39.58,-3.8
GIRIBE,34.28,-1.1
GIRIETU,40.95,2.93
GIRIFTU,39.75,2.02
GIRIFTUHARADE,39.08,2.88
GITANGUIN,36.08,-0.58
GITARE,37.55,-0.4
GITARENESUBLOCATION,37.75,-0.38
GITARO,37.07,-0.73
GITARU,36.68,-1.23
GETATHURU,36.9,-1.23
GITHAGARA,37.02,-0.77
GITHAGOYA,37.22,-0.65
GITHAMBA,36.82,-1.07
GITHAMBO,36.88,-0.72
GITHAMBO,36.9,-0.72
GITHANGA,37.08,-0.63
GITHANGA,37.07,-0.62
GIDHANJE,37.15,-0.75
GITHARE,36.03,-0.42
GITHARE,36.32,-0.42
GITHEE,35.6,-0.13
GITHEGA,36.7,-1.07
GITHEGA,36.82,-1.12
GITHERIONI,36.65,-1.02
GITHERIONI,36.68,-1.05
GITHIGA,36.93,-0.7
GITHIGA,36.72,-1.08
GITHIGAA,36.73,-1.08
GITHIGAB,36.75,-1.1
GITHIGASUBLOCATION,36.75,-1.08
GITHIKA,36.78,-0.75
GITHINGAB,36.75,-1.08
GITHINGUCHO,36.58,-1.08
GITHIORO,36.05,-0.47
GITHIORO,36.8,-1.02
GITHIORONI,36.65,-1.02
GITHITHI,37.03,-0.73
GITHOGOROPLANTATIONS,36.85,-1.18
GITHOITO,36.65,-0.97
GITHUGI,36.08,-0.62
GITHINGURI,36.08,-0.37
GITHUNGURI,36.78,-1.07
GITHUNGURI,37.03,-0.68
GITHUNGURI,37.05,-0.73
GITHUNGURILOCATION,36.75,-0.98
